,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R
PI607931,0.796203104,0.445682464,1.371356954,-0.264553622,0.712877188,0.093016712,0.500163316,-0.004085244,0.620956299,-0.170687743,-0.311168532,0.411123873,-0.086919946,0.879974662,-0.110764687,-0.137345462,0.124121364,1.549865617
PI533903,-0.676913777,-0.67246006,-0.677551319,0.486939726,-1.414463859,-0.838330219,-0.138645524,-0.881763768,-0.279371493,-1.151180747,-0.656098326,-0.250340706,-0.983209806,-1.797292311,-0.412703873,-0.583350313,-2.062722202,-0.559777494
PI533991,0.784707748,-0.547961828,-0.693681442,-2.286729579,-0.253446612,-0.511753117,-0.645694825,-1.127303907,-0.895373385,-0.884837777,-0.94165519,-0.654801241,-1.28161506,-1.285141019,-0.439311644,-1.989584386,-0.600775425,-0.366099251
PI576426,-0.178340098,-0.848287131,0.097211192,-1.378873123,-1.064111502,-0.82852115,-1.224577946,-1.553137547,-1.018304631,-0.952862013,-1.265842484,-1.677331451,-0.669936812,-2.181594248,-0.571501496,-1.570979107,-1.542861844,-0.264291272
PI597964,-0.395107541,-0.186512014,-0.069412046,-1.89891031,-0.242160572,0.017896081,-0.64048902,-0.692963694,0.105217576,-0.153000461,-0.401460944,-0.277472588,0.00036786,-0.042130105,-0.075515004,-0.322683474,-0.146182715,1.377502522
PI533752,-1.171315453,-0.15683333,-0.09118698,0.648200286,-0.749515723,-1.168205339,0.76958762,-0.721231149,-0.411775214,-1.518302323,-0.668336018,0.198098764,-1.017620264,-0.15103566,-0.89317036,-0.947398038,-2.529053134,-1.162830903
PI656041,-0.635374028,-0.333688233,-0.623937813,-1.450225189,-0.590016579,-0.821595413,-1.710762512,-1.829211738,-0.926963043,-0.839003562,-1.684080171,-2.200207478,-0.581427446,-1.744688083,-0.351871079,-0.868129728,-0.784274063,0.597195838
PI534133,0.914144487,-0.04376017,-0.296031075,-2.354845292,-0.477226224,-0.451792137,-0.681969357,-0.740099924,-0.031705339,-0.842516054,-0.788354123,-0.555672111,-0.733310068,0.376528656,-0.69018254,-0.490707757,-1.742516721,-0.495927196
PI533902,0.044038948,-0.249109145,-1.03435955,-0.708995176,-0.538874536,-0.534333796,-0.005559123,-0.738933957,-0.318016195,-0.756294595,-0.493921069,-0.198641656,0.189182789,0.663234131,-0.668190011,-0.473378585,-1.7732869,-0.38821624
PI561072,-2.150497504,-1.350465267,-1.428354041,-0.860592326,-1.864486168,-2.015504035,-1.549754631,-3.077702021,-1.367746589,-2.226076361,-2.07555692,-2.180935654,-1.045789992,-2.030545348,-2.258510992,-2.912581933,-3.089018524,-1.439147235
PI597982,-3.125216213,-0.975704478,-0.642774835,-3.036126874,-0.999344988,-1.178344284,-1.760573005,-3.636479308,-1.191904,-1.0697495,-2.140806266,-2.850353847,-0.369159554,-1.780306899,-2.272749632,-2.112547399,-1.118848783,0.206628255
PI534138,-0.467374323,-0.147712942,0.293335277,0.375968798,-0.126065894,0.073082497,-0.004326174,-0.061118572,0.154332363,-0.020966594,-0.249208017,-0.294240296,0.021931936,-1.626461391,0.442149798,-0.14961599,-0.074485968,-0.257836864
PI576390,-0.685273304,-0.269073334,1.159108506,-0.011665038,0.064913482,-0.177273618,-0.729371141,-0.339499632,-0.150645053,-0.037149081,-1.006617295,-1.500381795,0.14276071,-0.563130398,0.264618404,0.068107874,0.47009799,1.485356963
PI534116,-1.134664573,-1.244633254,-1.189438564,-2.021383609,-0.966431474,-1.101440219,-1.576664382,-3.497479354,-0.933051807,-1.537462337,-1.032010122,-1.459321334,-0.6352,-1.599129948,-1.542076471,-1.125374153,-2.343501567,-0.19636589
PI659696,-1.088168924,-1.166512201,-0.827531136,-3.234946757,-0.582428423,-1.545778025,-2.129457533,-3.571991439,-1.263658337,-1.075550393,-2.311470617,-3.399977867,-0.436248249,-1.55142579,-2.063757175,-1.565221309,-0.667697082,-1.148261862
PI597951,-0.21520488,0.080056641,0.836895346,0.531071698,0.157195119,0.010778613,-0.118510748,-0.180565108,0.112018667,0.318261335,-0.376917138,-0.440128299,0.191083259,0.458741832,-0.205989481,-0.16051741,0.114836309,2.31627729
PI656089,1.092711248,0.788275481,1.184367765,-1.058119499,0.414378564,0.245285923,-0.4656814,-1.010700692,-0.042454357,0.590963916,-0.339359235,-1.383850277,0.635706082,-0.443102408,1.186776401,0.522055876,0.937549446,2.237037304
PI534145,2.687734476,0.502402933,1.509740718,1.022118526,0.880025698,0.678607986,0.130243145,-0.304217867,0.959866101,0.898293157,0.235077039,0.330681407,0.918633004,0.31721061,1.38959236,1.003657643,1.372385393,2.290206504
PI656061,-0.222776198,0.328869321,0.688936772,-1.628624546,0.447879357,0.278622344,-0.514951592,-0.590143765,0.341065568,0.051412435,-0.305737983,-0.39183389,0.261752469,-0.653876473,0.547353075,0.064719753,0.75959743,1.517793516
PI656046,1.197728402,0.545680894,-0.067837718,1.249916601,0.599756806,-0.432348087,0.764549826,0.860251523,0.596881826,0.323454313,0.426047021,0.873621197,1.219494767,1.250874738,0.337029271,0.193362196,0.372323365,1.960087944
PI656080,0.63666811,-0.237468618,-0.518051962,-0.756762759,0.287187488,0.059568778,0.091403312,-0.220049253,-0.021972021,0.312530629,-0.034276766,-0.278391614,0.178320421,0.036376663,0.867241416,0.117024282,0.218305667,1.659682885
PI595740,1.453635986,0.387446319,0.693422432,-1.264392665,0.973189205,0.629817822,0.738972984,0.74745116,1.049953674,0.238724879,0.23723735,0.991318867,1.020701206,1.148413387,0.775222977,0.429056927,0.752002756,1.984880299
PI656102,0.25393428,-0.063504716,-0.378259262,-1.02726279,-0.020325131,-0.040514681,-0.285973988,0.164867164,-0.112268311,-0.510600866,0.086965116,0.748762143,-0.222069156,-0.056345033,0.270234563,0.565678416,0.034793903,-0.111276317
PI656103,-1.025326514,-0.360265855,-1.186898923,-3.770945867,-1.427996467,-1.460323839,-1.303465727,-2.658302155,-1.865851038,-1.524917193,-1.692202966,-1.402298481,-0.869202586,-1.611681258,-3.55292058,-1.38395856,-2.771884967,-0.983111014
PI656118,0.325329803,0.27608926,2.718908635,1.0637859,0.79933058,0.759495645,0.038430651,0.797536899,-0.215747563,0.477966508,0.020785738,0.282397131,0.973705618,-0.423552857,1.035239804,0.605112103,1.237143173,2.299893065
PI48770,0.477453302,0.308911968,-0.83025749,0.321254732,0.280396815,0.553933124,0.466715382,0.943931114,0.188326334,0.72350978,0.879940492,0.95605755,0.165060899,-0.110956129,0.036473782,0.504991455,0.827395274,-0.016146805
PI533800,0.284304265,0.444914433,1.549133052,0.034823985,0.652556808,0.515873563,-0.335758294,0.457178275,-0.061456848,0.239423505,0.189392208,-0.043523908,0.528062082,0.660263372,0.714924418,-0.697649472,1.287560003,1.219507484
PI656031,1.108316668,0.428236192,-0.222547435,0.874603606,0.281567972,0.562197634,-0.174931413,0.826508355,0.132172138,-0.004905108,0.613680717,0.403772048,0.641710174,-1.343373654,0.980431754,0.471937859,1.113852706,1.823335484
PI533776,0.264476879,1.077050679,1.480439617,1.452606642,0.823773432,0.94125398,0.635338094,1.615979741,0.620880419,0.08365016,0.87816682,1.515220243,0.492132211,0.950826695,0.756973956,0.54465959,0.786086673,0.256873467
PI534137,-0.129969881,-0.020429824,0.654300723,0.418988763,-0.352793897,0.003610124,0.069085113,-0.120438782,0.521171533,0.155866268,0.045536613,0.141792644,0.333582907,0.228300314,0.543900733,0.007967807,0.293117435,1.642339854
PI656121,0.052338343,0.610617429,-0.059280442,0.223423575,-0.152689468,0.321409619,0.351480118,0.512888231,0.113267289,-0.05996791,0.54080202,1.237495887,0.004008027,0.134532345,0.41579543,0.73482827,-0.509038565,-0.583715744
PI656082,0.218828538,0.218772804,0.224199922,0.568981633,0.487927809,0.5072155,0.328313059,0.991843195,0.683355337,0.11695314,0.712880652,0.830345148,0.801607518,-0.429962419,0.961967859,0.715575078,0.812802585,1.912684846
PI576375,0.288285698,0.175526134,0.0001187,-2.162415234,0.04484546,-0.405707648,-1.139863764,-0.703525827,-0.876003547,0.114566713,-1.024014622,-1.533345143,0.460065578,-0.73509733,-0.087352977,-0.041271849,0.39250939,-0.291760123
PI533842,1.153442894,1.163666656,4.785112772,3.931380299,0.273328383,1.022379525,1.146163718,1.358000028,0.707698837,0.827139053,1.155001265,1.761764086,0.973933031,1.410601227,1.111354302,0.991533851,0.126695206,2.272244854
PI534037,-0.532710401,-0.640142312,-0.76151575,-1.235631931,0.067007385,-0.397149346,-0.657767248,-0.704968316,-0.654097205,-0.310842941,-0.84308352,-0.570025662,-0.434017607,-1.474696663,-0.601220644,0.003531669,0.127468525,-0.845977293
PI533871,0.09152968,0.222193822,0.726109966,-0.419557037,-0.770004945,0.024963248,0.473495069,0.248813149,-0.867149728,0.374997001,0.214752848,0.826311869,-0.105970997,-0.343311602,-0.143147147,-0.33295299,-0.54998862,-0.356442418
PI659694,-1.203728212,-1.039438753,-1.456459943,-2.722567138,0.068254888,-0.838113267,-1.008940812,-1.482210061,-1.014500632,-0.677652533,-1.675752684,-1.008598442,-0.690941714,-1.700428091,-0.999779992,-0.437140048,-0.556731889,-2.067795732
PI576380,0.403373406,0.461339753,3.140920111,2.786872295,0.586730835,0.485236593,-0.293408846,1.326312401,-0.003718013,0.459516471,-0.129366928,-0.098402426,0.238594532,-0.893160116,0.474894033,-0.418232649,0.427419843,1.801843417
PI656094,0.745725492,0.702262545,0.787790639,-0.093327871,1.254301067,0.799235974,0.749282354,0.780936594,0.594564114,0.688331807,0.841182344,1.156980558,0.782184042,0.801755202,0.826563606,0.455451416,0.853638692,-0.13606368
PI533869,0.964626843,-0.063593621,1.156850444,-1.798973216,0.392107166,-0.372970782,-0.528976427,0.005866338,-0.652459309,0.509872627,-0.740308803,-1.506984582,-0.026387068,-0.860605325,-0.002130316,0.078139664,0.314002191,0.489091694
PI564163,0.996270001,0.546884235,0.448927059,-1.304798717,0.203269167,0.367453557,0.070126073,0.029919281,-0.516803501,0.716236233,-0.531277239,-0.805661879,0.255294608,-1.505011281,0.270104113,-0.151177183,-0.432466192,0.599988881
PI656056,0.020170452,0.447958255,0.807383298,-0.744151825,-0.396023326,0.106088793,0.077602477,-0.171537244,0.124805714,0.146429069,-0.299882022,0.269503547,0.246109853,-0.056511406,0.062989711,0.222988953,-0.18501488,1.768076038
PI534075,0.484924184,-0.814360513,-0.743372933,-2.323424371,0.058110852,-0.325693623,-1.080888812,-0.857902235,-0.923251563,-0.377120028,-1.412605947,-2.110234991,-0.421889211,-0.801581682,0.474453816,-0.425897991,-0.65246171,-0.855814461
PI552856,-0.027969435,0.879609326,1.209972296,0.503219796,0.238027657,0.33182638,0.381557574,0.459766924,0.804830514,0.326235241,0.584200326,1.167256287,0.609220609,1.025615296,0.560480847,0.08658267,0.075012332,-0.139823601
PI576435,-3.611188801,-1.518683865,-2.077951785,-4.362324713,-1.82808261,-1.596546461,-2.815488015,-4.716495725,-2.321850285,-2.117720978,-3.009648203,-3.738458282,-2.539116227,-2.985548131,-2.194986716,-1.718717626,-1.989048428,-1.858493356
PI656095,-0.64922767,-0.202963983,-0.172537142,-1.076723869,-0.223586511,-0.389604288,-0.839423298,-0.707838898,-0.787895802,-0.331261402,-0.841253838,-0.907836887,0.041766353,-1.604211443,0.155226987,0.206035419,0.143185855,1.729702177
PI534063,-0.630827305,-0.006655825,-0.192993603,0.679622627,0.139945803,-0.040514681,0.538877828,-0.238070385,-0.221351695,-0.280554894,-0.101484515,0.479648606,-0.512415469,0.473898869,-0.243207386,0.250236045,-0.436390497,-0.237005915
PI597949,1.193361064,0.561899131,1.014740357,-0.663264588,1.066968018,0.955240222,-0.21566433,0.842584536,0.250107152,-0.071395537,0.341916925,-0.213089263,1.035650162,-0.034387413,0.507891246,0.998672056,1.200979746,2.331794827
PI655984,0.859462215,0.875265049,1.765899391,0.024099219,0.92327985,0.711043262,0.582228269,0.04056943,0.540116832,0.701884852,0.419068508,0.791587145,0.465849428,0.517472854,1.027953706,0.226724982,0.317984219,1.792308657
PI656093,0.296880371,-0.290458316,-0.075791208,0.381766833,-0.403091195,-0.239515927,-0.263831863,-0.650255186,-0.004329958,-0.198359974,-0.328104155,0.027750027,-1.123771431,-1.121205441,-0.410160303,-0.189337919,-0.093898581,-1.588858109
PI534108,0.431303225,-0.369147531,0.141608098,-1.471883202,-0.490634358,-0.258034975,-0.965507385,-0.572567834,-0.568315087,-0.071980488,-0.918933666,-1.145098242,-0.35629485,-1.59524135,-1.812373075,-0.408410073,-0.213015523,0.482084515
PI552861,0.320674929,0.023565408,0.557675271,-1.461547766,-0.111845069,-0.674931505,-1.030510297,-0.647762492,-0.615873965,-0.039867234,-0.97151991,-1.360472126,-0.158147665,-0.515911652,0.031090789,-0.002269491,-0.368979302,-0.361522797
PI533761,-0.209644601,0.415357956,0.763438737,-1.110757586,0.592338042,0.326631563,0.60618151,0.549167651,0.325286577,0.466963286,0.407055923,0.860973459,0.760422752,1.243382352,0.614712238,0.583101856,0.599707278,1.42665915
PI656072,0.161256288,0.529286902,0.902953917,0.095468701,1.195657299,0.289492016,-0.095413382,-0.299633877,-0.452322775,0.921168653,0.059212405,-0.585345988,0.060582582,-0.008446849,0.918293204,0.444648299,1.155976874,2.028466526
PI576401,-0.132620046,1.08424212,0.547579868,-1.266425902,0.341616327,0.906866638,0.374122595,0.711071359,0.444186465,0.441764492,0.668269476,0.87766938,0.6033299,0.121567954,0.760919931,0.501948234,0.808886982,2.194814986
PI656044,0.020432521,0.309543734,0.924773335,-2.092424636,0.221938652,0.059568778,-0.251588168,0.185090885,-0.140848037,0.384682616,-0.278579247,-0.337512155,0.312935483,-0.996620142,-0.043972258,0.274305085,0.573873086,1.628881306
PI656096,0.390171795,0.735211058,-1.021660763,1.247187216,0.831478539,0.515873563,0.120673694,1.012826713,0.220968582,0.60103085,0.873299007,0.99007119,0.2938321,0.586342954,0.744387837,0.464650834,0.835924398,-0.035934691
PI533807,-0.45809305,0.072213175,1.065446717,-0.485026372,1.004815735,0.138040393,0.432109853,0.640346826,-0.065212248,0.30042468,0.476778347,0.608958378,0.001424619,0.371667804,0.418237247,-0.667554786,0.975043103,-0.432055103
PI656051,-0.109521935,0.577441678,1.942615885,-0.446736745,0.563979509,0.321409619,-0.363371832,0.398412227,0.108048307,-0.039283681,-0.053138013,-0.358857604,0.662645852,-0.53050679,0.714772944,0.632840434,1.204028262,1.73812414
PI542718,0.225098358,0.584002305,0.876191541,-1.105159504,0.362928725,0.017896081,0.56387913,0.443599843,0.511279241,0.651809324,0.272372961,0.686213616,0.387227168,0.204304692,-0.284182828,-0.307595076,0.629616548,-0.789677071
PI656071,0.661840593,0.685566793,0.410710688,-1.496940773,0.287185416,0.541406865,0.312564702,0.584445479,0.333243152,0.527362004,0.045269393,0.098239988,0.609707629,0.220281856,0.931583144,-0.266273849,0.375107968,1.974971821
PI533915,0.184638672,0.016783059,-0.536452517,-1.947785862,-0.013482914,0.156732526,-0.054895748,-0.094731689,-0.027968416,0.210509396,0.162809214,0.47677771,0.107323687,-0.052508411,0.131660964,-0.480704687,0.306219639,-0.024998587
PI576337,0.871045351,0.706476483,-0.43359119,0.277617359,0.58802583,0.578524527,0.221214923,0.963293234,0.284916762,0.53641076,0.622149945,0.528460155,0.589913939,0.434833115,1.178854813,0.409458885,0.660166083,0.426637041
PI576349,0.658856724,0.523245869,1.251366675,-0.540894608,0.643416477,0.250919741,-0.095226264,0.009467877,-0.239239626,0.56060635,0.10323629,-0.01150858,0.340653094,-0.692776363,0.302718428,0.317883534,0.920997661,1.578329689
PI656048,0.980606835,0.863141437,1.456214415,0.830695951,0.749644476,0.711043262,0.809001588,0.864386603,0.812818824,0.680975088,0.787404327,1.31169728,0.379715517,1.223536978,0.535369361,0.38720796,0.332052037,0.211779715
PI597950,2.516978636,0.204965157,-0.33525472,-0.793078156,-0.659874769,0.362441016,-0.169484133,0.095183899,-0.28780664,0.0966147,0.054814026,0.021185046,0.24266844,-0.166849815,0.426546583,0.234607373,0.30142939,1.814291474
PI576347,1.375139348,0.900277827,1.514497629,1.843808424,1.00287194,0.682264297,-0.46573904,1.362607911,0.540680216,0.518818498,0.957583375,1.511323509,1.059425423,1.58194009,0.297895773,0.36780817,0.913571455,1.416322971
PI533962,0.893369779,0.113346495,0.431177976,-1.978234252,-0.247598358,-0.086676723,-1.086532601,-1.102781634,-1.541284989,0.010207535,-1.473676986,-2.314374049,-0.648248192,-1.442746138,0.173368305,0.067268413,0.473283168,-0.319415043
PI656033,-0.015849393,0.334305191,0.779149045,-0.381612131,-0.049352607,0.222427785,0.24696742,-0.036556456,-0.707936923,0.639360122,0.250252581,0.366579258,0.03380228,-1.578638219,0.11043462,-0.265612422,0.623805733,-0.467596572
PI152651,-0.887939372,-0.831898426,-0.900917897,-2.760169278,-0.286344586,-1.399708328,-1.251505753,-1.565486869,-1.346080969,-0.848655773,-1.289785882,-1.430517719,-0.304149599,-1.793692306,-1.3467553,-0.41686357,-0.181386317,-0.815275567
PI576340,0.097518411,-0.352434175,-0.008273351,-1.663183361,-0.331881514,-0.768554726,-0.126326824,-0.899616535,-0.935988045,-0.349487246,-0.383622665,-0.061251511,0.013047125,-0.554441432,-0.483621073,-0.243935707,-0.340809976,-0.905822362
PI534009,0.514481909,0.940801752,2.045986919,-0.043558144,1.612589976,1.34953203,1.299328691,1.974312268,0.788516218,1.329883871,1.489157271,1.985423892,1.381627675,1.390375939,1.235747553,0.930080695,1.235698094,1.699957226
PI656026,-0.536947986,0.93960155,0.470716763,1.725600002,-0.130671002,0.305578154,0.506720716,1.401180676,0.705163569,0.175246605,1.294504783,2.091718551,0.419519831,0.910210716,0.820607857,0.930398673,-0.004855638,-0.244561981
PI561073,-2.150315232,0.618663235,0.870966939,-0.01409025,0.099556292,0.326631563,-0.463233075,0.395715604,0.230892237,0.200862386,0.622691391,1.102924441,0.436965264,0.182128135,0.736630738,1.096076542,0.514397919,0.090181377
PI656097,0.383727784,0.246851237,0.163857246,-0.74349704,0.270902237,-0.20347599,-0.5308959,-0.192859313,-0.331894484,0.28568402,0.037097083,0.135829424,0.040524144,-0.044609363,-0.027160997,-0.061233432,0.003992846,-0.731279347
PI565121,0.59860845,0.397764458,2.087367479,-1.574732582,0.742062192,0.808929103,0.23845673,0.526204821,-0.023681934,0.607304754,0.370919008,0.264755152,0.345541715,-0.595497087,1.064351604,0.255620589,0.396326551,-0.104400067
PI576348,0.294040977,-0.210707218,0.97930786,0.478682984,0.988626835,0.578524527,0.486918089,0.800501725,0.673002586,-0.060576147,0.558642333,1.127426094,0.723295952,1.42102061,0.340795678,0.517966173,0.330945907,0.933048895
PI656015,0.457281936,0.334653062,1.445815423,-0.414195605,0.356269984,0.052742813,-0.547273029,0.245354279,-0.175623045,0.311943472,0.008871158,-0.251720925,0.077189714,-1.124054402,0.804988981,0.468605119,0.508251864,0.463865801
PI655974,0.808666741,0.725185251,0.094893632,-0.086194674,0.388826611,0.511553901,0.194781666,0.686837221,0.723019035,0.35500364,0.507905958,0.974142497,0.571303948,0.548258453,-0.165384755,0.224586306,0.396874518,1.944677953
PI656057,0.445915512,0.261008032,1.418934266,-1.097093979,0.627237367,0.39701236,-0.604211664,0.098847603,-0.279798144,0.716049615,-0.269633522,-0.894928064,0.045059775,-0.328648999,0.763546742,0.094446856,0.644716598,1.413410864
PI533843,0.137039845,0.899014795,-0.162682858,-0.800697899,0.03022081,0.711043262,0.158414022,0.921806573,-0.187782091,0.584326354,0.196475039,0.146642172,0.451260649,-0.812727912,0.937691418,0.709525731,0.630576204,1.754607249
PI656090,1.415533251,0.621282878,-0.196644696,-0.608487226,0.448462918,0.742459458,-0.201429893,0.854418939,0.443625987,0.851541315,0.49276363,0.332181788,0.751546729,0.119512,1.152122327,0.745058994,0.862321891,2.400707302
PI656086,0.415428684,-0.187199551,-0.742835681,0.733080404,-0.072371738,-0.382947912,0.635338094,0.66171093,0.386390664,0.660783036,0.66139112,1.089304512,0.553715746,0.299984009,0.377560735,0.72611415,0.096425549,1.700576648
PI656111,0.834503468,0.127827359,-0.68794714,0.961906726,0.070500644,-1.003104964,-0.145668409,0.65038126,-0.355852381,0.216840779,0.050890004,0.451633854,0.146863519,0.354210778,-0.656331363,-0.075646438,0.360550066,0.343750148
PI533938,-0.5155691,0.249876917,-0.327295956,0.290504549,0.025425433,-0.040514681,0.158414022,0.090219729,-0.240672729,0.279618807,0.216114013,0.521560739,0.020267392,-0.669483351,0.292067111,0.297996394,0.505503376,-0.753085633
PI656003,-0.15076347,0.46724629,-0.309165947,1.033101279,0.148691615,0.079771485,-0.150065858,0.450065462,0.527534635,-0.183237839,0.545652629,1.055294387,0.071405421,0.184312007,0.980521364,0.27415003,0.708585949,0.820718965
PI656049,0.00616036,0.811916692,-0.643091636,-0.883299361,0.423925331,0.59458913,0.049866334,0.909409167,0.277445111,1.257863244,0.62143601,0.07413939,0.946228727,0.454318977,1.529794187,-0.275795955,1.52153628,2.593281483
PI656008,0.226159093,0.962624118,0.740942463,-0.025045363,1.372816389,0.966290058,0.513235398,0.996260921,0.515431844,1.141730421,0.517492552,0.731296938,1.029770962,0.358329497,1.178670561,0.916746086,1.276498789,2.630308369
PI576399,-0.19382306,0.833553364,0.410697274,0.982370479,0.247353795,0.34725085,0.874445497,1.037286647,0.604485198,0.543569177,0.756880022,1.331238764,0.49136122,0.248547482,0.882913805,0.427038856,0.548975578,1.182690248
PI655976,0.977549624,0.603669159,-0.777415003,-0.888203797,0.623888315,0.660123171,-0.455695314,0.316217502,-0.140999764,0.645066935,-0.060871941,-0.453407731,0.517003209,-0.87811135,0.388175291,0.002269491,1.0045256,2.46742029
PI533939,0.985915937,0.423768387,1.513478,0.220760327,0.21977665,0.052742813,-0.001948737,0.382634846,0.274916266,0.450644456,0.4636393,0.615407979,0.866213069,1.027718979,-0.024966915,0.344159529,0.585260101,1.50058898
PI656083,0.211791411,-0.880118087,0.507132389,-1.234988056,-0.79629241,-0.73311314,-1.214784977,-1.356407837,-1.270419098,-0.500970143,-1.150987062,-1.223582502,-0.864929252,-1.313756907,-0.646033289,0.48876366,-0.443919431,-0.272291005
PI656027,-0.086803014,0.57174474,2.703927547,0.689611348,1.032450489,0.735562879,0.075614269,1.061136982,0.089997088,0.738406966,0.096535539,-0.424621635,0.948380008,-0.917057533,1.172359912,1.190370113,1.486686012,1.713136066
PI656062,-0.016312865,-0.175958314,0.060917377,-1.182189374,0.099400838,0.093016712,0.167630677,0.552866785,-0.122463746,-0.091561446,0.003068155,0.110740714,-0.132478611,0.143496861,-0.547588591,-0.845708709,0.289906709,-1.30422561
PI656037,0.53150485,-0.071097354,0.206284097,-0.757236918,-0.263145878,0.357403222,-0.740036337,-0.229746057,-0.381259632,0.367310621,-0.11491573,-0.094593441,0.103700609,0.001487291,0.937915456,-0.133960592,0.113262642,1.803126664
PI656059,-0.502072741,0.096546662,1.133220201,-0.339942639,0.2376604,-0.110582244,-0.002169526,0.158899186,0.161055539,-0.087362957,0.212454852,0.615294066,0.287021887,0.1308681,-0.042012819,0.296486532,-0.350334439,-0.514170339
PI656034,-1.081625015,-1.023669133,-0.799514506,-4.017933297,-0.829043854,-1.343200415,-2.237243608,-2.423375527,-1.67900246,-1.448430451,-2.447714334,-2.56488302,-2.538526963,-2.242783514,-1.76614382,-1.062285287,-1.285067315,-0.585940918
PI656025,-0.648899513,0.953710206,2.859925658,1.160939137,0.971488552,0.988030045,0.55145661,1.496627245,0.601925724,1.17398697,0.899930758,0.779204954,0.838047542,0.576692624,1.544933296,1.321674564,1.222329086,2.301847999
PI656107,-2.78187615,0.669703259,2.414967821,0.693398409,0.705652677,0.362441016,-0.501870578,1.042337945,0.349267976,0.099795081,0.355654206,0.498859175,0.622767997,-0.613169811,0.801178567,0.817119914,1.164481669,1.308299318
PI576418,-0.157756048,0.566637716,2.402669085,-0.395777278,0.514140108,0.912680608,0.304596532,0.887065741,0.257756446,1.225144902,0.992592058,0.824994758,0.218918648,0.012752763,0.623529424,0.701090514,0.616682948,1.57517114
PI656011,-0.45702428,0.96136463,3.213380713,1.339201595,1.281513326,1.211173596,0.453016538,1.921766247,0.49700427,1.378340218,1.100280422,0.839302816,1.104397169,0.829332586,2.095836452,1.15553533,1.627912088,2.963124
PI576391,-0.892649951,0.339673055,0.759855874,0.745191752,1.432565175,0.079771485,0.176763161,0.689268495,0.080533442,0.562412506,0.45910564,0.034084283,-0.191323024,-0.548603585,0.612034361,0.744794744,1.3732571,0.233468227
PI656023,-0.729953086,0.916706462,2.093732922,0.970864672,1.12412313,1.03528293,1.269296403,1.827951347,0.994243924,0.750742271,1.528725599,2.356020175,0.900794219,1.391242258,0.323055685,0.571358421,0.54932123,2.463598214
PI656012,-0.919385984,1.064791575,2.540377337,0.067159243,1.353509383,0.996062217,0.486918089,1.475131729,0.399054002,1.261554745,0.684208036,0.579936232,1.016139854,0.236403463,1.327853987,0.885908723,1.111362725,2.02361104
PI598070,-0.38492212,0.594200451,2.154620831,-1.035926346,1.332365534,0.87427116,-0.063171022,0.499385292,-0.046313026,1.033385737,-0.031107672,-0.650169165,0.894069557,0.988171559,1.306960283,0.532839156,1.546794772,2.590518988
PI655994,0.307008604,0.956602669,3.398863541,1.426333558,1.135715102,1.585329267,-0.242496197,1.776748558,0.680244464,1.771946097,1.208674725,0.725878047,1.431414204,1.0362497,1.964199641,1.432686645,1.843012608,3.379335159
PI656099,-0.483840312,1.475989145,1.651426704,-0.244816521,1.001474926,1.139873919,-0.07953888,1.241169146,0.053548689,1.019352706,0.470783035,-0.078760503,1.050929358,-0.649827542,1.072680992,0.90822948,1.525401416,2.523812681
PI576359,-0.114075265,1.132210127,1.146075252,-0.533524003,1.467322,1.1329214,0.176763161,1.52117123,0.693398077,0.971746915,0.813839131,0.769129065,1.249243457,-0.271350611,1.164112784,1.215362028,1.804298228,2.444960664
PI656073,-1.086453413,0.6504978,-0.52565757,0.110727099,0.243510649,0.725128002,-0.020567895,1.098449953,-0.329715306,0.396274392,0.398081768,0.35831592,0.554186887,-0.619665663,0.66368873,1.212308347,0.816664073,2.096758387
PI641849,0.525353445,0.799039352,1.082706053,1.08976527,0.571288477,1.283744289,1.082084861,1.702206532,1.30658428,1.452822795,1.476932231,1.804301541,1.211994336,1.036672059,1.3843488,1.527438879,1.350312361,2.573891158
PI656024,-1.022774102,0.195533681,0.349523027,0.340467804,0.526756291,0.843687736,-0.122397019,0.863748278,0.646571553,-0.120339808,0.71236581,1.155673048,0.734217374,0.699817546,0.763164911,0.072218375,0.840994523,2.221333317
PI656065,-1.811885403,0.381122452,-0.708319499,-1.83082777,0.251038779,0.326631563,-0.046791952,0.155813153,-0.387093063,0.317180416,-0.165558254,-0.516864804,0.400828267,-0.079778016,0.240155158,0.181884243,0.411414541,2.078402915
PI656043,-0.228840581,0.110242105,0.185659523,-0.847298733,0.489385649,-0.055666486,0.312564702,0.088652253,0.31837335,0.303956618,0.393941643,0.862491285,0.099724592,0.655743181,0.029491278,0.504080461,0.407410767,-0.251495224
PI534144,-0.946966632,0.29729385,0.049011562,0.119050523,-0.794611465,0.622095776,0.212481243,0.751558139,0.189457532,0.332429383,0.533063637,0.972313122,0.241131828,-0.123850584,0.441565567,0.593527187,-0.058569852,-0.010961876
PI656079,-0.839284438,-0.357051737,-0.139813069,-1.075084426,-0.202937557,0.273142878,-0.676699283,-0.812241699,-0.622851874,-0.053533267,-0.767086579,-0.950295377,-0.263391497,0.47512629,0.009132814,-0.414590545,-0.390442705,-0.673743155
PI655972,-0.282181861,0.43629186,1.715545788,1.178352792,0.303288424,0.093016712,0.425042685,0.11531001,0.400016725,0.666951044,0.816994329,1.223951741,0.280237595,0.998641635,0.869677732,0.917159995,0.613856215,1.333526525
